gene_name	entrez_id
ADAMTS8_CN	11095
ADAMTS9_CN	56999
ADAMTSL1_CN	92949
ADAMTSL2_CN	9719
ADAMTSL3_CN	57188
ADAMTSL4_CN	54507
ADAMTSL5_CN	339366
ADAP1_CN	11033
ADAP2_CN	55803
ADAR_CN	103
ADARB1_CN	104
ADARB2_CN	105
ADAT1_CN	23536
ADAT2_CN	134637
ADAT3_CN	113179
ADCK1_CN	57143
ADCK2_CN	90956
ADCK5_CN	203054
ADCY1_CN	107
ADCY10_CN	55811
ADCY2_CN	108
ADCY3_CN	109
ADCY4_CN	196883
ADCY5_CN	111
ADCY6_CN	112
ADCY7_CN	113
ADCY8_CN	114
ADCY9_CN	115
ADCYAP1_CN	116
ADCYAP1R1_CN	117
ADD1_CN	118
ADD2_CN	119
ADD3_CN	120
ADGB_CN	79747
ADH1A_CN	124
ADH1B_CN	125
ADH1C_CN	126
ADH4_CN	127
ADH5_CN	128
ADH6_CN	130
ADH7_CN	131
ADHFE1_CN	137872
ADI1_CN	55256
ADIG_CN	149685
ADIPOQ_CN	9370
ADIPOR1_CN	51094
ADIPOR2_CN	79602
ADIRF_CN	10974
ADK_CN	132
ADM_CN	133
ADM2_CN	79924
ADM5_CN	199800
ADNP_CN	23394
ADNP2_CN	22850
ADO_CN	84890
ADORA1_CN	134
ADORA2A_CN	135
ADORA2B_CN	136
ADORA3_CN	140
ADPGK_CN	83440
ADPRH_CN	141
ADPRHL1_CN	113622
ADPRM_CN	56985
ADRA1A_CN	148
ADRA1B_CN	147
ADRA1D_CN	146
ADRA2A_CN	150
ADRA2B_CN	151
ADRA2C_CN	152
ADRB1_CN	153
ADRB2_CN	154
ADRB3_CN	155
ADRM1_CN	11047
ADSL_CN	158
ADTRP_CN	84830
AEBP1_CN	165
AEBP2_CN	121536
AEN_CN	64782
AFAP1_CN	60312
AFAP1L1_CN	134265
AFAP1L2_CN	84632
AFF1_CN	4299
AFF3_CN	3899
AFF4_CN	27125
AFG3L2_CN	10939
AFM_CN	173
AFMID_CN	125061
AFP_CN	174
AFTPH_CN	54812
AGA_CN	175
AGAP1_CN	116987
AGAP2_CN	116986
AGAP3_CN	116988
AGAP4_CN	119016
AGAP5_CN	729092
AGAP6_CN	414189
AGAP9_CN	642517
AGBL1_CN	123624
AGBL2_CN	79841
AGBL3_CN	340351
AGBL4_CN	84871
AGBL5_CN	60509
AGER_CN	177
AGFG1_CN	3267
AGFG2_CN	3268
AGGF1_CN	55109
AGK_CN	55750
AGL_CN	178
AGMAT_CN	79814
AGMO_CN	392636
AGO1_CN	26523
AGO2_CN	27161
AGO3_CN	192669
AGO4_CN	192670
AGPAT1_CN	10554
AGPAT2_CN	10555
AGPAT3_CN	56894
AGPAT4_CN	56895
AGPAT5_CN	55326
AGPS_CN	8540
AGR2_CN	10551
AGR3_CN	155465
AGRN_CN	375790
AGRP_CN	181
AGT_CN	183
AGTPBP1_CN	23287
AGTR1_CN	185
AGTRAP_CN	57085
AGXT_CN	189
AGXT2_CN	64902
AHCTF1_CN	25909
AHCY_CN	191
AHCYL1_CN	10768
AHCYL2_CN	23382
AHDC1_CN	27245
AHI1_CN	54806
AHNAK_CN	79026
AHNAK2_CN	113146
AHR_CN	196
AHRR_CN	57491
AHSA1_CN	10598
AHSG_CN	197
AHSP_CN	51327
AICDA_CN	57379
AIDA_CN	64853
AIF1_CN	199
AIF1L_CN	83543
AIFM2_CN	84883
AIFM3_CN	150209
AIG1_CN	51390
AIM2_CN	9447
AIMP1_CN	9255
AIMP2_CN	7965
AIP_CN	9049
AIPL1_CN	23746
AIRE_CN	326
AJAP1_CN	55966
AJUBA_CN	84962
AK1_CN	203
AK2_CN	204
AK3_CN	50808
AK4_CN	205
AK5_CN	26289
AK7_CN	122481
AK8_CN	158067
AK9_CN	221264
AKAP1_CN	8165
AKAP10_CN	11216
AKAP11_CN	11215
AKAP12_CN	9590
AKAP13_CN	11214
PALM2AKAP2_CN	445815
AKAP3_CN	10566
AKAP5_CN	9495
AKAP6_CN	9472
AKAP7_CN	9465
AKAP8_CN	10270
AKAP8L_CN	26993
AKAP9_CN	10142
AKIP1_CN	56672
AKIRIN1_CN	79647
AKIRIN2_CN	55122
AKNA_CN	80709
AKNAD1_CN	254268
AKR1A1_CN	10327
AKR1B1_CN	231
AKR1B10_CN	57016
AKR1B15_CN	441282
AKR1C1_CN	1645
AKR1C2_CN	1646
AKR1C3_CN	8644
AKR1C4_CN	1109
AKR1D1_CN	6718
AKR1E2_CN	83592
AKR7A2_CN	8574
AKR7A3_CN	22977
AKR7L_CN	246181
AKT1_CN	207
AKT1S1_CN	84335
AKT2_CN	208
AKT3_CN	10000
AKTIP_CN	64400
ALAD_CN	210
ALAS1_CN	211
ALB_CN	213
ALCAM_CN	214
ALDH16A1_CN	126133
ALDH18A1_CN	5832
ALDH1A1_CN	216
ALDH1A2_CN	8854
ALDH1A3_CN	220
ALDH1B1_CN	219
ALDH1L1_CN	10840
ALDH1L2_CN	160428
ALDH2_CN	217
ALDH3A1_CN	218
ALDH3A2_CN	224
ALDH3B1_CN	221
ALDH3B2_CN	222
ALDH4A1_CN	8659
ALDH5A1_CN	7915
ALDH6A1_CN	4329
ALDH7A1_CN	501
ALDH8A1_CN	64577
ALDH9A1_CN	223
ALDOA_CN	226
ALDOB_CN	229
ALDOC_CN	230
ALG1_CN	56052
ALG10_CN	84920
ALG10B_CN	144245
ALG11_CN	440138
ALG12_CN	79087
ALG14_CN	199857
ALG1L2_CN	644974
ALG2_CN	85365
ALG3_CN	10195
ALG5_CN	29880
ALG6_CN	29929
ALG8_CN	79053
ALG9_CN	79796
ALK_CN	238
ALKBH1_CN	8846
ALKBH2_CN	121642
ALKBH3_CN	221120
ALKBH4_CN	54784
ALKBH5_CN	54890
ALKBH6_CN	84964
ALKBH7_CN	84266
ALKBH8_CN	91801
ALLC_CN	55821
ALMS1_CN	7840
ALOX12_CN	239
ALOX12B_CN	242
ALOX15_CN	246
ALOX15B_CN	247
ALOX5_CN	240
ALOX5AP_CN	241
ALOXE3_CN	59344
ALPI_CN	248
ALPK1_CN	80216
ALPK2_CN	115701
ALPK3_CN	57538
ALPL_CN	249
ALPP_CN	250
ALS2_CN	57679
ALS2CL_CN	259173
ALX1_CN	8092
ALX3_CN	257
ALX4_CN	60529
ALYREF_CN	10189
AMACR_CN	23600
AMBN_CN	258
AMBP_CN	259
AMBRA1_CN	55626
AMD1_CN	262
AMDHD1_CN	144193
AMDHD2_CN	51005
AMER2_CN	219287
AMER3_CN	205147
AMFR_CN	267
AMH_CN	268
AMHR2_CN	269
AMIGO1_CN	57463
AMIGO2_CN	347902
AMIGO3_CN	386724
AMMECR1L_CN	83607
AMN_CN	81693
AMN1_CN	196394
AMOTL1_CN	154810
AMOTL2_CN	51421
AMPD1_CN	270
AMPD2_CN	271
AMPD3_CN	272
AMPH_CN	273
AMT_CN	275
AMTN_CN	401138
AMY1A_CN	276
AMY1B_CN	277
AMY1C_CN	278
AMY2A_CN	279
AMY2B_CN	280
AMZ1_CN	155185
AMZ2_CN	51321
ANAPC1_CN	64682
ANAPC10_CN	10393
ANAPC11_CN	51529
ANAPC13_CN	25847
ANAPC15_CN	25906
ANAPC16_CN	119504
ANAPC2_CN	29882
ANAPC4_CN	29945
ANAPC5_CN	51433
ANAPC7_CN	51434
ANG_CN	283
ANGEL1_CN	23357
ANGEL2_CN	90806
ANGPT1_CN	284
ANGPT2_CN	285
ANGPT4_CN	51378
ANGPTL1_CN	9068
ANGPTL2_CN	23452
ANGPTL3_CN	27329
ANGPTL4_CN	51129
ANGPTL5_CN	253935
ANGPTL6_CN	83854
ANGPTL7_CN	10218
ANHX_CN	647589
ANK1_CN	286
ANK2_CN	287
ANK3_CN	288
ANKAR_CN	150709
ANKDD1A_CN	348094
ANKDD1B_CN	728780
ANKEF1_CN	63926
ANKFN1_CN	162282
ANKFY1_CN	51479
ANKH_CN	56172
ANKHD1_CN	54882
ANKHD1.EIF4EBP3_CN	NA
ANKIB1_CN	54467
ANKK1_CN	255239
ANKLE1_CN	126549
ANKLE2_CN	23141
ANKMY1_CN	51281
ANKMY2_CN	57037
ANKRA2_CN	57763
ANKRD1_CN	27063
ANKRD10_CN	55608
ANKRD11_CN	29123
ANKRD12_CN	23253
ANKRD13A_CN	88455
ANKRD13B_CN	124930
ANKRD13C_CN	81573
ANKRD13D_CN	338692
ANKRD16_CN	54522
ANKRD17_CN	26057
ANKRD18A_CN	253650
ANKRD18B_CN	441459
ANKRD2_CN	26287
ANKRD20A1_CN	84210
ANKRD22_CN	118932
ANKRD23_CN	200539
ANKRD24_CN	170961
ANKRD26_CN	22852
ANKRD27_CN	84079
ANKRD28_CN	23243
ANKRD29_CN	147463
ANKRD30A_CN	91074
ANKRD30B_CN	374860
ANKRD30BL_CN	554226
ANKRD31_CN	256006
ANKRD33_CN	341405
ANKRD33B_CN	651746
ANKRD34A_CN	284615
ANKRD34B_CN	340120
ANKRD34C_CN	390616
ANKRD35_CN	148741
ANKRD36_CN	375248
ANKRD36B_CN	57730
ANKRD36C_CN	400986
ANKRD37_CN	353322
ANKRD39_CN	51239
ANKRD40_CN	91369
ANKRD42_CN	338699
ANKRD44_CN	91526
ANKRD45_CN	339416
ANKRD46_CN	157567
ANKRD49_CN	54851
ANKRD50_CN	57182
ANKRD52_CN	283373
ANKRD53_CN	79998
ANKRD54_CN	129138
ANKRD55_CN	79722
ANKRD6_CN	22881
ANKRD60_CN	140731
ANKRD61_CN	100310846
ANKRD62_CN	342850
ANKRD63_CN	100131244
ANKRD65_CN	441869
ANKRD66_CN	100287718
ANKRD7_CN	56311
ANKRD9_CN	122416
ANKS1A_CN	23294
ANKS1B_CN	56899
ANKS3_CN	124401
ANKS4B_CN	257629
ANKS6_CN	203286
ANKUB1_CN	389161
ANKZF1_CN	55139
ANLN_CN	54443
ANO1_CN	55107
ANO10_CN	55129
ANO2_CN	57101
ANO3_CN	63982
ANO4_CN	121601
ANO5_CN	203859
ANO6_CN	196527
ANO7_CN	50636
ANO8_CN	57719
ANO9_CN	338440
ANP32A_CN	8125
ANP32B_CN	10541
ANP32D_CN	23519
ANP32E_CN	81611
ANPEP_CN	290
ANTXR1_CN	84168
ANTXR2_CN	118429
ANTXRL_CN	195977
ANXA1_CN	301
ANXA10_CN	11199
ANXA11_CN	311
ANXA13_CN	312
ANXA2_CN	302
ANXA2R_CN	389289
ANXA3_CN	306
ANXA4_CN	307
ANXA5_CN	308
ANXA6_CN	309
ANXA7_CN	310
ANXA8_CN	653145
ANXA8L1_CN	728113
ANXA9_CN	8416
AOAH_CN	313
AOC1_CN	26
AOC2_CN	314
AOC3_CN	8639
AOX1_CN	316
AP1AR_CN	55435
AP1B1_CN	162
AP1G1_CN	164
AP1G2_CN	8906
AP1M1_CN	8907
AP1M2_CN	10053
AP1S1_CN	1174
AP1S3_CN	130340
AP2A1_CN	160
AP2A2_CN	161
AP2B1_CN	163
AP2M1_CN	1173
AP2S1_CN	1175
AP3B1_CN	8546
AP3B2_CN	8120
AP3D1_CN	8943
AP3M1_CN	26985
AP3M2_CN	10947
AP3S1_CN	1176
AP3S2_CN	10239
AP4B1_CN	10717
AP4E1_CN	23431
AP4M1_CN	9179
AP4S1_CN	11154
AP5B1_CN	91056
AP5M1_CN	55745
AP5S1_CN	55317
AP5Z1_CN	9907
APAF1_CN	317
APBA1_CN	320
APBA2_CN	321
APBA3_CN	9546
APBB1_CN	322
APBB1IP_CN	54518
APBB2_CN	323
APBB3_CN	10307
APC_CN	324
APC2_CN	10297
APCDD1_CN	147495
APCDD1L_CN	164284
APCS_CN	325
APEH_CN	327
APEX1_CN	328
APH1A_CN	51107
APH1B_CN	83464
API5_CN	8539
APIP_CN	51074
APLF_CN	200558
APLNR_CN	187
APLP1_CN	333
APLP2_CN	334
APMAP_CN	57136
APOA1_CN	335
APOA2_CN	336
APOA4_CN	337
APOA5_CN	116519
APOB_CN	338
APOBEC1_CN	339
APOBEC2_CN	10930
APOBEC3A_CN	200315
APOBEC3B_CN	9582
APOBEC3C_CN	27350
APOBEC3D_CN	140564
APOBEC3F_CN	200316
APOBEC3G_CN	60489
APOBEC3H_CN	164668
APOBEC4_CN	403314
APOBR_CN	55911
APOC1_CN	341
APOC2_CN	344
APOC3_CN	345
APOC4_CN	346
APOC4.APOC2_CN	NA
APOD_CN	347
APOE_CN	348
APOF_CN	319
APOH_CN	350
APOL1_CN	8542
APOL2_CN	23780
APOL3_CN	80833
APOL4_CN	80832
APOL5_CN	80831
APOL6_CN	80830
APOLD1_CN	81575
APOM_CN	55937
APP_CN	351
APPBP2_CN	10513
APPL1_CN	26060
APPL2_CN	55198
APRT_CN	353
APTX_CN	54840
AQP1_CN	358
AQP10_CN	89872
AQP11_CN	282679
AQP12A_CN	375318
AQP12B_CN	653437
AQP2_CN	359
AQP3_CN	360
AQP4_CN	361
AQP5_CN	362
AQP6_CN	363
AQP7_CN	364
AQP8_CN	343
AQP9_CN	366
AQR_CN	9716
ARAP1_CN	116985
ARAP2_CN	116984
ARAP3_CN	64411
ARC_CN	23237
ARCN1_CN	372
AREG_CN	374
AREL1_CN	9870
ARF1_CN	375
ARF3_CN	377
ARF4_CN	378
ARF5_CN	381
ARF6_CN	382
ARFGAP1_CN	55738
ARFGAP2_CN	84364
ARFGAP3_CN	26286
ARFGEF1_CN	10565
ARFGEF2_CN	10564
ARFIP1_CN	27236
ARFIP2_CN	23647
ARFRP1_CN	10139
ARG1_CN	383
ARG2_CN	384
ARGFX_CN	503582
ARGLU1_CN	55082
ARHGAP1_CN	392
ARHGAP10_CN	79658
ARHGAP11A_CN	9824
ARHGAP11B_CN	89839
ARHGAP12_CN	94134
ARHGAP15_CN	55843
ARHGAP17_CN	55114
ARHGAP18_CN	93663
ARHGAP19_CN	84986
ARHGAP19.SLIT1_CN	NA
ARHGAP20_CN	57569
ARHGAP21_CN	57584
ARHGAP22_CN	58504
ARHGAP23_CN	57636
ARHGAP24_CN	83478
ARHGAP25_CN	9938
ARHGAP26_CN	23092
ARHGAP27_CN	201176
ARHGAP28_CN	79822
ARHGAP29_CN	9411
ARHGAP30_CN	257106
ARHGAP31_CN	57514
ARHGAP32_CN	9743
ARHGAP33_CN	115703
ARHGAP35_CN	2909
ARHGAP39_CN	80728
ARHGAP40_CN	343578
ARHGAP42_CN	143872
ARHGAP44_CN	9912
ARHGAP5_CN	394
ARHGAP8_CN	23779
ARHGAP9_CN	64333
ARHGDIA_CN	396
ARHGDIB_CN	397
ARHGDIG_CN	398
ARHGEF1_CN	9138
ARHGEF10_CN	9639
ARHGEF10L_CN	55160
ARHGEF11_CN	9826
ARHGEF12_CN	23365
ARHGEF15_CN	22899
ARHGEF16_CN	27237
ARHGEF17_CN	9828
ARHGEF18_CN	23370
ARHGEF19_CN	128272
ARHGEF2_CN	9181
ARHGEF25_CN	115557
ARHGEF26_CN	26084
ARHGEF28_CN	64283
ARHGEF3_CN	50650
ARHGEF33_CN	100271715
ARHGEF35_CN	445328
ARHGEF37_CN	389337
ARHGEF38_CN	54848
ARHGEF39_CN	84904
ARHGEF4_CN	50649
ARHGEF40_CN	55701
ARHGEF5_CN	7984
ARHGEF7_CN	8874
ARID1A_CN	8289
ARID1B_CN	57492
ARID2_CN	196528
ARID3A_CN	1820
ARID3B_CN	10620
ARID3C_CN	138715
ARID4A_CN	5926
ARID4B_CN	51742
ARID5A_CN	10865
ARID5B_CN	84159
ARIH1_CN	25820
ARIH2_CN	10425
ARL1_CN	400
ARL10_CN	285598
ARL11_CN	115761
ARL13B_CN	200894
ARL14_CN	80117
ARL14EP_CN	120534
ARL14EPL_CN	644100
ARL15_CN	54622
ARL16_CN	339231
ARL17A_CN	51326
ARL17B_CN	100506084
ARL2_CN	402
ARL2BP_CN	23568
ARL3_CN	403
ARL4A_CN	10124
ARL4C_CN	10123
ARL4D_CN	379
ARL5A_CN	26225
ARL5B_CN	221079
ARL5C_CN	390790
ARL6_CN	84100
ARL6IP1_CN	23204
ARL6IP4_CN	51329
ARL6IP5_CN	10550
ARL6IP6_CN	151188
ARL8A_CN	127829
ARL8B_CN	55207
ARL9_CN	132946
ARMC1_CN	55156
ARMC10_CN	83787
ARMC12_CN	221481
ARMC2_CN	84071
ARMC3_CN	219681
ARMC5_CN	79798
ARMC6_CN	93436
ARMC7_CN	79637
ARMC8_CN	25852
ARMC9_CN	80210
ARMS2_CN	387715
ARNT_CN	405
ARNT2_CN	9915
BMAL1_CN	406
BMAL2_CN	56938
ARPC1A_CN	10552
ARPC1B_CN	10095
